Date,Open,High,Low,Close,Adj Close,Volume
2019-12-12,58.75,62.8,53.05,55.95,55.95,251414527
2019-12-13,55.4,55.4,51.1,52.0,52.0,40886357
2019-12-16,52.0,59.65,51.25,58.45,58.45,75723164
2019-12-17,60.35,61.1,57.5,58.65,58.65,59177594
2019-12-18,58.55,58.9,56.75,57.8,57.8,16440516
2019-12-19,57.1,59.4,56.65,59.1,59.1,16846660
2019-12-20,58.8,59.7,57.6,58.1,58.1,9016461
2019-12-23,57.75,58.6,56.2,56.4,56.4,6044590
2019-12-24,56.5,56.95,55.3,55.55,55.55,5209932
2019-12-26,55.55,55.9,53.2,53.6,53.6,6485440
2019-12-27,53.9,55.4,53.15,53.55,53.55,8207009
2019-12-30,53.4,54.7,53.3,54.05,54.05,5161631
2019-12-31,54.0,54.8,53.75,53.85,53.85,2608305
2020-01-01,53.85,54.2,52.9,53.05,53.05,3369319
2020-01-02,53.3,57.25,52.9,55.6,55.6,10788226
2020-01-03,55.6,56.2,54.65,54.9,54.9,3802527
2020-01-06,54.8,54.8,53.0,53.2,53.2,2878675
2020-01-07,53.5,54.3,53.25,53.6,53.6,2223498
2020-01-08,52.7,54.4,52.1,54.05,54.05,2992351
2020-01-09,55.0,55.0,52.9,53.15,53.15,5424010
2020-01-10,53.3,53.75,51.8,52.2,52.2,4962166
2020-01-13,52.25,53.0,52.25,52.55,52.55,2490710
2020-01-14,52.85,53.5,52.3,52.55,52.55,2848871
2020-01-15,52.9,52.9,51.6,51.7,51.7,4121422
2020-01-16,51.95,52.95,51.2,51.5,51.5,3698950
2020-01-17,51.7,51.9,50.3,50.4,50.4,4884518
2020-01-20,50.75,50.8,48.6,49.05,49.05,4565526
2020-01-21,49.25,50.6,48.35,49.95,49.95,4427125
2020-01-22,50.8,52.9,49.75,51.35,51.35,7374048
2020-01-23,52.0,54.2,52.0,53.6,53.6,14228890
2020-01-24,54.0,55.3,53.7,54.8,54.8,6737755
2020-01-27,55.0,55.95,54.0,54.6,54.6,4975971
2020-01-28,54.6,56.25,54.5,55.05,55.05,5831800
2020-01-29,55.5,55.75,54.8,54.9,54.9,2661337
2020-01-30,54.9,56.0,53.85,55.45,55.45,3154683
2020-01-31,56.1,56.4,55.55,55.8,55.8,3129732
2020-02-03,53.5,54.25,53.0,53.25,53.25,1987363
2020-02-04,53.9,54.5,53.4,54.05,54.05,2223160
2020-02-05,53.7,57.8,53.6,56.25,56.25,6277829
2020-02-06,56.2,58.2,55.8,56.75,56.75,4033152
2020-02-07,56.85,56.9,55.75,55.95,55.95,1442427
2020-02-10,55.8,55.95,54.5,54.95,54.95,1347813
2020-02-11,55.1,55.95,54.1,54.95,54.95,2048203
2020-02-12,55.0,55.3,54.1,54.3,54.3,1554938
2020-02-13,54.05,55.15,53.6,54.7,54.7,1947090
2020-02-14,55.0,55.5,54.1,54.5,54.5,1393438
2020-02-17,54.0,54.45,53.2,53.5,53.5,1305086
2020-02-18,53.05,53.5,52.2,52.8,52.8,1124779
2020-02-19,53.0,53.9,52.9,53.05,53.05,2178575
2020-02-20,52.8,53.6,52.45,53.25,53.25,1351336
2020-02-24,53.0,53.2,51.5,51.65,51.65,1453779
2020-02-25,51.65,52.15,50.85,51.15,51.15,1422367
2020-02-26,51.0,51.25,49.15,49.85,49.85,2892356
2020-02-27,50.0,50.0,48.65,49.55,49.55,1753310
2020-02-28,48.0,48.8,47.0,48.4,48.4,2657101
2020-03-02,50.5,50.9,48.25,48.7,48.7,2200495
