Date,Open,High,Low,Close,Adj Close,Volume
1998-11-27,3.55,3.55,2.71,3.4,2.26,21000
1998-11-30,3.25,3.3,3.1,3.21,2.13,132000
1998-12-01,3.29,3.46,3.22,3.39,2.25,123500
1998-12-02,3.36,3.44,3.32,3.39,2.25,75500
1998-12-03,3.44,3.49,3.37,3.39,2.25,102000
1998-12-04,3.34,3.41,3.3,3.39,2.25,71000
1998-12-07,3.38,3.44,3.35,3.38,2.25,26000
1998-12-08,3.38,3.4,3.23,3.24,2.15,32500
1998-12-09,3.29,3.34,3.23,3.24,2.15,15000
1998-12-10,3.24,3.27,3.19,3.2,2.13,36000
1998-12-11,3.22,3.24,3.12,3.16,2.1,37500
1998-12-14,3.26,3.26,3.16,3.18,2.11,18500
1998-12-15,3.2,3.2,3.15,3.15,2.09,8500
1998-12-16,3.14,3.16,3.1,3.13,2.08,43000
1998-12-17,3.03,3.12,3.03,3.08,2.05,14000
1998-12-18,3.06,3.12,2.99,3.0,2.0,72500
1998-12-21,3.15,3.16,3.05,3.05,2.03,35500
1998-12-22,3.07,3.07,3.0,3.06,2.04,22000
1998-12-23,3.04,3.07,3.0,3.04,2.02,20000
1998-12-24,2.92,3.06,2.92,3.0,2.0,29000
1998-12-25,3.0,3.0,3.0,3.0,2.0,0
1998-12-28,3.0,3.07,3.0,3.0,2.0,11000
1998-12-29,3.01,3.1,3.0,3.05,2.03,24000
1998-12-30,3.13,3.54,3.13,3.41,2.27,47000
1998-12-31,3.4,3.4,3.21,3.24,2.15,48500
1999-01-01,3.32,3.34,3.23,3.27,2.17,337500
1999-01-04,3.4,3.54,3.4,3.41,2.27,50000
1999-01-05,3.36,3.36,3.17,3.2,2.13,44000
1999-01-06,3.27,3.27,3.15,3.2,2.13,47000
1999-01-07,3.2,3.56,3.2,3.35,2.23,104000
1999-01-08,3.44,3.55,3.4,3.41,2.27,220000
1999-01-11,3.6,3.65,3.41,3.51,2.33,172500
1999-01-12,3.45,3.6,3.37,3.43,2.28,47500
1999-01-13,3.41,3.47,3.4,3.42,2.27,25500
1999-01-14,3.36,3.4,3.3,3.36,2.23,9000
1999-01-15,3.4,3.4,3.13,3.19,2.12,31000
1999-01-18,3.19,3.26,3.15,3.26,2.17,9000
1999-01-19,3.35,3.35,3.25,3.3,2.19,7500
1999-01-20,3.3,3.3,3.3,3.3,2.19,0
1999-01-21,3.1,3.26,2.94,3.25,2.16,10500
1999-01-22,3.3,3.38,3.22,3.26,2.17,4500
1999-01-25,3.25,3.26,3.07,3.26,2.17,15500
1999-01-26,3.26,3.26,3.26,3.26,2.17,0
1999-01-27,3.2,3.2,3.12,3.2,2.13,5000
1999-01-28,3.2,3.28,3.16,3.16,2.1,8500
1999-01-29,3.2,3.24,3.02,3.03,2.02,37000
1999-02-01,3.1,3.12,3.1,3.1,2.06,7500
1999-02-02,3.2,3.2,3.02,3.19,2.12,34500
1999-02-03,3.24,3.25,3.15,3.17,2.11,60500
1999-02-04,3.2,3.2,3.1,3.1,2.06,30000
1999-02-05,3.18,3.2,3.02,3.1,2.06,27500
1999-02-08,3.1,3.14,3.1,3.13,2.08,9500
1999-02-09,3.0,3.1,3.0,3.06,2.04,9000
1999-02-10,3.19,3.2,3.0,3.02,2.01,13000
1999-02-11,3.1,3.1,3.0,3.06,2.04,23000
1999-02-12,3.0,3.1,3.0,3.0,2.0,86500
1999-02-15,3.0,3.0,3.0,3.0,2.0,3500
1999-02-16,3.11,3.11,3.01,3.01,2.0,4000
1999-02-17,3.02,3.08,3.0,3.02,2.01,3000
1999-02-18,2.95,3.1,2.95,3.0,2.0,55000
1999-02-19,3.05,3.05,2.9,3.0,2.0,47500
1999-02-22,3.1,3.1,2.8,2.99,1.99,3500
1999-02-23,2.91,2.91,2.84,2.88,1.92,12500
1999-02-24,2.82,2.9,2.8,2.9,1.93,21000
1999-02-25,2.94,2.96,2.85,2.85,1.9,12500
1999-02-26,2.9,2.9,2.84,2.88,1.92,13500
1999-03-01,2.85,2.87,2.8,2.84,1.89,50000
1999-03-02,2.84,2.84,2.84,2.84,1.89,0
1999-03-03,3.04,3.54,3.04,3.51,2.33,102500
1999-03-04,3.5,3.5,3.12,3.32,2.21,284000
1999-03-05,3.49,3.49,3.2,3.27,2.17,271000
1999-03-08,3.69,3.69,3.3,3.3,2.19,212000
1999-03-09,3.59,3.6,3.2,3.2,2.13,119000
1999-03-10,2.94,3.2,2.94,3.15,2.09,19000
1999-03-11,3.1,3.19,3.0,3.0,2.0,61500
1999-03-12,3.0,3.05,2.8,2.89,1.92,69500
1999-03-15,3.02,3.02,2.9,2.9,1.93,49500
1999-03-16,2.92,3.02,2.8,2.84,1.89,66000
1999-03-17,2.99,2.99,2.82,2.83,1.88,13500
1999-03-18,2.83,2.83,2.83,2.83,1.88,0
1999-03-19,2.84,2.85,2.77,2.79,1.86,67000
1999-03-22,2.9,2.9,2.78,2.8,1.86,61500
1999-03-23,2.88,2.88,2.75,2.83,1.88,45000
1999-03-24,2.8,2.82,2.74,2.8,1.86,51500
1999-03-25,2.8,2.8,2.8,2.8,1.86,0
1999-03-26,2.7,2.76,2.6,2.62,1.74,53000
1999-03-29,2.62,2.62,2.62,2.62,1.74,0
1999-03-30,2.75,2.77,2.6,2.68,1.78,23000
1999-03-31,2.8,2.86,2.8,2.8,1.86,7500
1999-04-01,2.65,2.8,2.65,2.79,1.86,4500
1999-04-02,2.79,2.79,2.79,2.79,1.86,0
1999-04-05,2.79,2.8,2.61,2.65,1.76,9500
1999-04-06,2.74,2.74,2.61,2.61,1.74,11500
1999-04-07,2.69,2.7,2.65,2.65,1.76,10000
1999-04-08,2.65,2.68,2.63,2.63,1.75,13000
1999-04-09,2.64,2.7,2.6,2.62,1.74,9000
1999-04-12,2.61,2.62,2.6,2.62,1.74,1500
1999-04-13,2.6,2.65,2.6,2.64,1.76,5500
1999-04-14,2.64,2.64,2.64,2.64,1.76,0
1999-04-15,2.6,2.7,2.6,2.6,1.73,6000
1999-04-16,2.61,2.61,2.54,2.59,1.72,17500
1999-04-19,2.6,2.64,2.52,2.64,1.76,11000
1999-04-20,2.6,2.69,2.6,2.67,1.78,16500
1999-04-21,2.76,2.76,2.62,2.64,1.76,9000
1999-04-22,2.65,2.71,2.6,2.65,1.76,7500
1999-04-23,2.6,2.65,2.6,2.6,1.73,34500
1999-04-26,2.5,2.6,2.46,2.47,1.64,13000
1999-04-27,2.47,2.47,2.47,2.47,1.64,0
1999-04-28,2.6,2.6,2.5,2.5,1.66,10500
1999-04-29,2.6,2.6,2.5,2.59,1.72,5000
1999-04-30,2.59,2.59,2.59,2.59,1.72,0
1999-05-03,2.6,2.73,2.5,2.52,1.68,9500
1999-05-04,2.74,2.74,2.54,2.54,1.69,152500
1999-05-05,2.74,2.74,2.6,2.61,1.74,15500
1999-05-06,2.6,2.73,2.6,2.66,1.77,16000
1999-05-07,2.54,2.75,2.54,2.75,1.83,6500
1999-05-10,2.7,2.8,2.7,2.79,1.86,15000
1999-05-11,2.84,2.9,2.71,2.71,1.8,39000
1999-05-12,2.71,2.76,2.7,2.71,1.8,11000
1999-05-13,2.76,2.8,2.66,2.68,1.78,13000
