Date,Open,High,Low,Close,Adj Close,Volume
2017-11-06,295.9,299.0,278.0,284.4,258.21,43029311
2017-11-07,287.7,291.0,282.0,287.8,261.3,5980837
2017-11-08,287.0,289.0,284.95,285.3,259.03,1885677
2017-11-09,285.9,288.0,285.0,287.2,260.76,1476764
2017-11-10,285.15,287.2,281.3,285.2,258.94,905132
2017-11-13,283.2,288.0,283.2,287.2,260.76,2141637
2017-11-14,288.95,288.95,267.9,273.35,248.18,1306130
2017-11-15,271.05,276.5,248.1,253.5,230.16,2250713
2017-11-16,255.0,278.6,237.5,272.15,247.09,4154606
2017-11-17,274.0,284.0,265.5,279.0,253.31,1247735
2017-11-20,278.75,280.9,271.0,278.95,253.27,554463
2017-11-21,276.8,280.0,272.0,272.15,247.09,366109
2017-11-22,274.9,276.35,267.0,269.8,244.96,925427
2017-11-23,274.0,274.0,267.95,271.2,246.23,355274
2017-11-24,273.9,273.9,270.1,271.75,246.73,301275
2017-11-27,270.0,273.0,267.8,272.15,247.09,559725
2017-11-28,270.5,271.9,267.0,268.0,243.32,210880
2017-11-29,268.0,269.55,260.0,261.85,237.74,398140
2017-11-30,261.9,266.2,252.7,263.5,239.24,432489
2017-12-01,261.15,266.85,258.1,259.7,235.79,337914
2017-12-04,260.9,262.45,254.2,255.05,231.57,1774394
2017-12-05,253.3,262.9,253.3,261.1,237.06,1104003
2017-12-06,258.6,260.55,254.6,255.05,231.57,669659
2017-12-07,255.9,259.9,252.0,252.3,229.07,212652
2017-12-08,252.55,256.35,252.0,252.45,229.21,391545
2017-12-11,253.05,254.35,252.0,252.55,229.3,1422111
2017-12-12,252.8,255.0,251.95,252.8,229.52,771170
2017-12-13,253.0,253.0,250.55,251.6,228.43,191972
2017-12-14,252.8,252.9,248.4,250.75,227.66,274737
2017-12-15,251.15,253.9,248.0,253.0,229.71,497089
2017-12-18,253.9,264.0,251.05,260.1,236.15,1628941
2017-12-19,260.85,275.55,257.3,270.2,245.32,529940
2017-12-20,270.4,281.75,266.25,274.8,249.5,620156
2017-12-21,280.0,287.9,276.3,281.25,255.35,1214297
2017-12-22,286.85,289.0,280.65,284.1,257.94,1892348
2017-12-26,285.5,290.0,281.25,286.3,259.94,792108
2017-12-27,286.9,291.95,284.25,285.2,258.94,777311
2017-12-28,284.0,295.0,284.0,288.45,261.89,734826
2017-12-29,290.6,304.9,288.1,300.2,272.56,1529684
2018-01-01,301.5,311.0,295.25,300.85,273.15,1654808
2018-01-02,303.1,305.65,283.6,287.8,261.3,440999
2018-01-03,287.6,298.0,284.05,296.8,269.47,463883
2018-01-04,295.05,300.25,295.0,297.5,270.11,234257
2018-01-05,296.25,300.45,293.0,295.2,268.02,310196
2018-01-08,295.45,300.0,295.45,298.1,270.65,259903
2018-01-09,298.2,300.0,291.05,292.65,265.7,94441
2018-01-10,293.5,298.0,292.4,295.55,268.34,131597
2018-01-11,298.0,303.95,295.05,297.2,269.84,420895
2018-01-12,300.95,327.9,299.0,318.3,288.99,1595260
2018-01-15,327.0,330.05,318.0,326.1,296.07,977336
2018-01-16,328.3,335.0,310.55,313.9,285.0,1870590
2018-01-17,315.55,318.0,304.55,309.65,281.14,475657
2018-01-18,313.3,314.25,295.0,297.35,269.97,219036
2018-01-19,300.0,303.4,291.0,293.5,266.48,371719
2018-01-22,295.0,302.0,292.0,295.4,268.2,308784
2018-01-23,295.5,305.25,295.0,296.05,268.79,316102
2018-01-24,295.3,308.2,292.15,304.65,276.6,560932
2018-01-25,303.0,307.0,297.0,301.1,273.38,282209
2018-01-29,301.1,302.3,295.1,296.15,268.88,237587
2018-01-30,296.1,299.0,287.05,289.85,263.16,267164
2018-01-31,288.9,290.0,281.35,284.55,262.89,126763
2018-02-01,284.95,289.85,272.0,274.35,253.46,289992
2018-02-02,270.0,273.0,256.0,266.9,246.58,295003
2018-02-05,258.9,277.0,251.5,272.45,251.71,243347
2018-02-06,256.0,269.85,256.0,262.85,242.84,294274
2018-02-07,267.0,274.2,263.8,273.05,252.26,332922
2018-02-08,273.0,281.7,272.0,277.45,256.33,416506
2018-02-09,272.55,280.25,270.2,276.9,255.82,136312
2018-02-12,275.2,283.55,275.2,279.05,257.8,840375
2018-02-14,279.0,285.0,279.0,282.25,260.76,76825
2018-02-15,285.0,286.45,278.65,282.75,261.22,115706
2018-02-16,284.85,285.5,272.3,282.15,260.67,173710
2018-02-19,280.35,281.5,273.55,277.0,255.91,81973
2018-02-20,275.0,275.05,270.1,272.15,251.43,61484
2018-02-21,272.8,274.75,270.55,272.85,252.08,33779
2018-02-22,272.0,274.55,270.0,272.45,251.71,241606
2018-02-23,272.9,286.85,267.15,273.5,252.68,162618
2018-02-26,279.2,279.2,275.05,277.1,256.0,61675
2018-02-27,277.4,280.65,274.9,277.0,255.91,92339
2018-02-28,276.65,277.45,273.0,273.85,253.0,425761
2018-03-01,271.1,276.5,271.05,272.15,251.43,185309
2018-03-05,272.15,273.2,265.0,266.1,245.84,67986
2018-03-06,269.0,269.9,260.15,262.9,242.88,272564
2018-03-07,265.0,265.0,256.0,256.75,237.2,57483
2018-03-08,256.0,265.7,253.7,260.25,240.44,83463
2018-03-09,261.05,263.4,256.95,258.35,238.68,144100
2018-03-12,261.5,262.2,255.0,256.35,236.83,46274
2018-03-13,259.0,259.8,255.0,256.85,237.29,82899
2018-03-14,255.0,261.25,254.25,256.0,236.51,71953
2018-03-15,258.7,258.9,254.4,254.8,235.4,55715
2018-03-16,256.5,258.5,254.8,255.7,236.23,184283
2018-03-19,256.05,258.55,254.0,254.95,235.54,87732
2018-03-20,253.6,257.15,253.1,254.5,235.12,55355
2018-03-21,253.8,257.0,253.1,253.85,234.52,37533
2018-03-22,254.0,259.4,250.1,253.45,234.15,544365
2018-03-23,251.0,252.85,242.05,243.75,225.19,177036
2018-03-26,245.9,247.4,240.45,241.75,223.34,633063
2018-03-27,250.0,251.15,243.05,248.7,229.76,861000
2018-03-28,247.0,250.15,244.3,247.45,228.61,375459
2018-04-02,249.7,259.0,248.0,254.6,235.22,722252
2018-04-03,256.0,258.0,253.0,256.3,236.79,48157
2018-04-04,257.0,260.65,251.0,252.4,233.18,95626
2018-04-05,256.7,257.85,253.55,256.4,236.88,63405
2018-04-06,258.0,259.7,252.55,257.15,237.57,81966
2018-04-09,260.0,260.0,256.2,258.5,238.82,42906
2018-04-10,257.05,261.8,257.05,260.35,240.53,79403
2018-04-11,260.65,261.9,258.1,260.45,240.62,28256
2018-04-12,259.1,261.9,259.0,259.5,239.74,102898
2018-04-13,259.9,259.9,257.8,259.3,239.56,29878
2018-04-16,258.0,260.9,256.3,258.8,239.1,113775
2018-04-17,258.1,260.0,258.0,258.85,239.14,70083
2018-04-18,258.15,259.0,255.5,256.8,237.25,51017
2018-04-19,257.25,258.9,255.15,257.35,237.76,116859
2018-04-20,257.9,258.75,255.7,256.25,236.74,64602
2018-04-23,256.5,268.0,255.1,257.05,237.48,315134
