Date,Open,High,Low,Close,Adj Close,Volume
2011-05-06,196.6,198.9,161.4,175.9,131.93,60613615
2011-05-09,174.0,179.75,168.75,171.35,128.51,6129552
2011-05-10,171.0,177.4,169.5,176.35,132.26,5514954
2011-05-11,177.0,178.7,172.4,175.1,131.33,3348158
2011-05-12,174.0,174.4,165.05,169.05,126.79,2719399
2011-05-13,168.0,170.7,165.3,166.05,124.54,998959
2011-05-16,165.85,165.85,159.1,160.5,120.38,1530085
2011-05-17,161.0,162.0,155.8,159.9,119.93,875597
2011-05-18,159.5,163.0,158.2,159.15,119.36,567443
2011-05-19,160.15,160.3,155.0,155.5,116.63,276867
2011-05-20,156.0,162.4,155.15,158.0,118.5,731694
2011-05-23,157.85,159.9,155.5,158.0,118.5,343551
2011-05-24,158.0,162.25,156.6,161.2,120.9,568661
2011-05-25,160.6,163.8,154.75,155.45,116.59,601050
2011-05-26,157.1,160.4,156.0,157.6,118.2,512762
2011-05-27,158.9,175.0,158.9,172.9,129.68,4218741
2011-05-30,171.45,176.9,171.45,175.6,131.7,1223067
2011-05-31,176.0,176.9,171.05,175.45,131.59,604495
2011-06-01,175.75,181.75,172.95,180.85,135.64,1963698
2011-06-02,179.9,183.2,175.1,175.8,131.85,1546385
2011-06-03,174.0,178.85,171.35,177.9,133.43,1330147
2011-06-06,178.5,179.4,175.0,175.25,131.44,347137
2011-06-07,175.5,176.75,173.35,174.3,130.73,204739
2011-06-08,174.4,175.45,168.0,170.3,127.73,465391
2011-06-09,170.5,171.25,167.75,168.2,126.15,228604
2011-06-10,167.55,169.4,162.1,164.35,123.26,288082
2011-06-13,166.5,169.2,163.05,167.4,125.55,292508
2011-06-14,168.2,168.2,163.05,164.2,123.15,283959
2011-06-15,163.15,163.15,159.5,161.3,120.98,439170
2011-06-16,160.4,160.4,155.4,156.6,117.45,292400
2011-06-17,156.3,160.9,154.75,158.05,118.54,246344
2011-06-20,158.55,159.0,153.95,154.25,115.69,302130
2011-06-21,155.85,156.5,153.2,153.5,115.13,195394
2011-06-22,155.0,155.6,151.5,152.0,114.0,369374
2011-06-23,152.0,153.4,150.35,150.5,112.88,342393
2011-06-24,151.5,155.0,151.5,154.2,115.65,185985
2011-06-27,154.5,162.75,153.3,161.6,121.2,433739
2011-06-28,162.05,166.45,162.05,164.75,123.56,284992
2011-06-29,163.0,166.4,158.95,159.6,119.7,191610
2011-06-30,160.15,161.35,155.0,157.0,117.75,316850
2011-07-01,158.1,161.2,156.6,157.65,118.24,436070
2011-07-04,157.5,166.7,157.0,165.85,124.39,539440
2011-07-05,165.85,166.95,162.7,163.3,122.48,194339
2011-07-06,162.95,163.5,161.05,162.1,121.58,85854
2011-07-07,163.0,168.15,162.15,167.6,125.7,345960
2011-07-08,167.65,173.8,165.0,166.35,124.76,415999
2011-07-11,166.0,168.5,162.0,162.75,122.06,136170
2011-07-12,161.4,164.85,160.0,163.4,122.55,236220
2011-07-13,163.3,167.0,158.0,166.2,124.65,139147
2011-07-14,164.05,174.5,163.0,172.05,129.04,621576
